Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,118058503,1512.3469731971509,2930299,37.53756578814686,467576,2621046,33.575988886717454,58625,0.7509949647903205,9592,
United States of America,Americas,28940137,8743.17,471401,142.42,60210,525495,158.76,10482,3.17,1509,Community transmission
India,South-East Asia,11308846,819.48,135085,9.79,23285,158306,11.47,758,0.05,117,Clusters of cases
Brazil,Americas,11202305,5270.2,483675,227.55,79876,270656,127.33,11385,5.36,2286,Community transmission
Russian Federation,Europe,4360823,2988.21,70688,48.44,9270,90734,62.17,2911,1.99,459,Clusters of cases
The United Kingdom,Europe,4234928,6238.29,40139,59.13,5926,124987,184.11,1204,1.77,190,Community transmission
France,Europe,3894447,5966.35,150387,230.4,30112,89077,136.47,1984,3.04,264,Community transmission
Spain,Europe,3178442,6798.11,30308,64.82,2910,71961,153.91,518,1.11,18,Community transmission
Italy,Europe,3123368,5165.85,147094,243.28,22275,100811,166.73,2176,3.6,332,Clusters of cases
Turkey,Europe,2821943,3345.95,87107,103.28,14556,29227,34.65,456,0.54,67,Community transmission
Germany,Europe,2532947,3023.19,61005,72.81,14356,72810,86.9,1570,1.87,321,Community transmission
Colombia,Americas,2285960,4492.59,23314,45.82,3588,60773,119.44,691,1.36,97,Community transmission
Argentina,Americas,2177898,4818.81,47811,105.79,8204,53493,118.36,988,2.19,134,Community transmission
Mexico,Americas,2144558,1663.32,39571,30.69,6674,192488,149.29,4444,3.45,699,Community transmission
Poland,Europe,1849424,4886.63,98765,260.96,21111,46373,122.53,1724,4.56,376,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1723470,2051.92,58367,69.49,8308,61016,72.64,585,0.7,88,Community transmission
South Africa,Africa,1524174,2569.9,7912,13.34,1477,51015,86.02,649,1.09,109,Community transmission
Ukraine,Europe,1425522,3259.55,50760,116.07,9084,27685,63.3,1094,2.5,262,Community transmission
Indonesia,South-East Asia,1403722,513.2,42624,15.58,5144,38049,13.91,1152,0.42,117,Community transmission
Peru,Americas,1387457,4208,42488,128.86,7434,48323,146.56,1234,3.74,160,Community transmission
Czechia,Europe,1365724,12753.07,81436,760.45,14529,22624,211.26,1496,13.97,239,Community transmission
Netherlands,Europe,1133474,6615.01,32203,187.94,5330,15948,93.07,252,1.47,31,Community transmission
Canada,Americas,896739,2375.96,21180,56.12,3221,22335,59.18,230,0.61,31,Community transmission
Chile,Americas,873512,4569.49,33393,174.68,5563,21362,111.75,524,2.74,156,Community transmission
Romania,Europe,840116,4367.03,27798,144.5,4564,21156,109.97,570,2.96,100,Community transmission
Portugal,Europe,811948,7962.84,5322,52.19,642,16617,162.96,187,1.83,22,Clusters of cases
Israel,Europe,806257,9314.93,11647,134.56,0,5925,68.45,95,1.1,0,Community transmission
Belgium,Europe,794605,6856.18,12720,109.75,0,22347,192.82,150,1.29,0,Community transmission
Iraq,Eastern Mediterranean,745642,1853.79,31648,78.68,5170,13671,33.99,164,0.41,26,Community transmission
Sweden,Europe,701892,6949.93,26644,263.82,5892,13088,129.59,31,0.31,1,Community transmission
Philippines,Western Pacific,607048,553.97,22381,20.42,3740,12608,11.51,204,0.19,63,Community transmission
Pakistan,Eastern Mediterranean,597497,270.49,12062,5.46,2258,13377,6.06,301,0.14,53,Community transmission
Switzerland,Europe,565233,6531,6313,72.94,5,9320,107.69,35,0.4,0,Community transmission
Bangladesh,South-East Asia,554156,336.49,5607,3.4,1051,8502,5.16,67,0.04,6,Community transmission
Serbia,Europe,498696,7161.3,27755,398.56,4590,4620,66.34,129,1.85,21,Community transmission
Hungary,Europe,489172,5063.71,42994,445.06,8312,16497,170.77,1021,10.57,172,Community transmission
Morocco,Eastern Mediterranean,487750,1321.44,2603,7.05,464,8712,23.6,43,0.12,7,Clusters of cases
Austria,Europe,478826,5316.51,17143,190.34,2847,8594,95.42,124,1.38,12,Community transmission
Jordan,Eastern Mediterranean,457151,4480.5,43801,429.29,8300,5169,50.66,336,3.29,63,Community transmission
Japan,Western Pacific,444289,351.28,7561,5.98,1288,8451,6.68,332,0.26,49,Clusters of cases
United Arab Emirates,Eastern Mediterranean,419996,4246.5,17791,179.88,2087,1369,13.84,83,0.84,16,Community transmission
Lebanon,Eastern Mediterranean,408909,5990.95,22058,323.17,3518,5230,76.63,311,4.56,50,Community transmission
Saudi Arabia,Eastern Mediterranean,381348,1095.39,2640,7.58,390,6551,18.82,37,0.11,6,Sporadic cases
Panama,Americas,346301,8025.95,3560,82.51,542,5957,138.06,73,1.69,13,Community transmission
Slovakia,Europe,331571,6073.13,14412,263.97,1978,8244,151,684,12.53,98,Clusters of cases
Malaysia,Western Pacific,319364,986.73,11421,35.29,1647,1200,3.71,47,0.15,9,Clusters of cases
Belarus,Europe,298123,3154.97,7676,81.23,609,2063,21.83,61,0.65,8,Community transmission
Ecuador,Americas,296841,1682.48,7106,40.28,0,16105,91.28,146,0.83,0,Community transmission
Nepal,South-East Asia,275070,944.06,582,2,97,3012,10.34,2,0.01,0,Clusters of cases
Georgia,Europe,274045,6869.73,2173,54.47,395,3622,90.8,69,1.73,9,Community transmission
Kazakhstan,Europe,270399,1440.08,4470,23.81,0,3456,18.41,67,0.36,0,Clusters of cases
Bulgaria,Europe,269579,3879.7,16396,235.97,2774,10999,158.29,586,8.43,97,Clusters of cases
Bolivia (Plurinational State of),Americas,256462,2197.05,5071,43.44,841,11884,101.81,150,1.29,26,Community transmission
Croatia,Europe,248838,6061.43,3966,96.61,777,5635,137.26,71,1.73,10,Community transmission
Dominican Republic,Americas,244923,2257.79,3531,32.55,755,3204,29.54,65,0.6,6,Community transmission
Tunisia,Eastern Mediterranean,239977,2030.5,4334,36.67,609,8313,70.34,207,1.75,21,Community transmission
Azerbaijan,Europe,237775,2345.11,2442,24.08,515,3257,32.12,27,0.27,7,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,230356,4515.53,13554,265.69,1291,2445,47.93,131,2.57,18,Community transmission
Ireland,Europe,224588,4548.35,3399,68.84,631,4499,91.11,142,2.88,47,Community transmission
Denmark,Europe,217798,3760.19,5000,86.32,2007,2382,41.12,12,0.21,1,Community transmission
Greece,Europe,212091,2034.83,14812,142.11,2629,6886,66.07,289,2.77,43,Community transmission
Costa Rica,Americas,207832,4079.84,1942,38.12,0,2848,55.91,24,0.47,0,Community transmission
Kuwait,Eastern Mediterranean,205893,4821.21,9396,220.02,1505,1148,26.88,43,1.01,4,Community transmission
Lithuania,Europe,203992,7493.4,3108,114.17,606,3363,123.54,69,2.53,12,Community transmission
Republic of Moldova,Europe,198228,4913.98,8831,218.92,1753,4183,103.69,157,3.89,33,Community transmission
Slovenia,Europe,197374,9493.98,5111,245.85,952,4180,201.06,17,0.82,1,Clusters of cases
Egypt,Eastern Mediterranean,189000,184.69,4245,4.15,639,11169,10.91,298,0.29,41,Clusters of cases
Guatemala,Americas,181143,1011.09,4893,27.31,750,6531,36.45,104,0.58,9,Community transmission
Armenia,Europe,176286,5949.09,2979,100.53,748,3239,109.31,31,1.05,2,Community transmission
Honduras,Americas,175442,1771.32,3342,33.74,934,4301,43.42,87,0.88,4,Community transmission
Paraguay,Americas,174013,2439.71,11142,156.21,2028,3387,47.49,148,2.07,27,Community transmission
Ethiopia,Africa,169878,147.77,7904,6.88,1543,2466,2.15,75,0.07,15,Community transmission
Qatar,Eastern Mediterranean,168829,5859.98,3283,113.95,468,264,9.16,4,0.14,0,Community transmission
Nigeria,Africa,159646,77.45,3150,1.53,394,1993,0.97,70,0.03,5,Community transmission
Oman,Eastern Mediterranean,145257,2844.48,2361,46.23,0,1600,31.33,17,0.33,0,Community transmission
Venezuela (Bolivarian Republic of),Americas,143796,505.68,3413,12,475,1407,4.95,49,0.17,8,Community transmission
Libya,Eastern Mediterranean,142671,2076.33,6084,88.54,1073,2340,34.05,107,1.56,10,Community transmission
Myanmar,South-East Asia,142114,261.19,114,0.21,41,3201,5.88,1,0,1,Clusters of cases
Bosnia and Herzegovina,Europe,139652,4256.62,5670,172.82,1110,5382,164.04,208,6.34,37,Community transmission
Bahrain,Eastern Mediterranean,129081,7585.97,4224,248.24,653,478,28.09,16,0.94,2,Clusters of cases
Albania,Europe,114840,3990.55,5166,179.51,631,1986,69.01,130,4.52,17,Clusters of cases
Algeria,Africa,114681,261.52,1088,2.48,138,3026,6.9,30,0.07,4,Community transmission
Kenya,Africa,110356,205.23,3555,6.61,713,1898,3.53,32,0.06,12,Community transmission
North Macedonia,Europe,109262,5244.46,4714,226.27,912,3244,155.71,88,4.22,16,Community transmission
China,Western Pacific,102203,6.95,188,0.01,31,4849,0.33,3,0,0,Clusters of cases
Puerto Rico,Americas,102051,3567.15,1184,41.39,46,2071,72.39,18,0.63,4,Community transmission
Republic of Korea,Western Pacific,94686,184.68,3049,5.95,488,1662,3.24,35,0.07,10,Clusters of cases
Latvia,Europe,91636,4858.24,3614,191.6,639,1726,91.51,72,3.82,21,Community transmission
Sri Lanka,South-East Asia,86989,406.24,2379,11.11,304,520,2.43,31,0.14,9,Clusters of cases
Ghana,Africa,86737,279.14,2388,7.69,272,656,2.11,45,0.14,9,Community transmission
Kyrgyzstan,Europe,86692,1328.78,282,4.32,52,1476,22.62,8,0.12,0,Clusters of cases
Zambia,Africa,83333,453.29,3243,17.64,436,1140,6.2,32,0.17,3,Community transmission
Montenegro,Europe,81453,12968.86,2813,447.88,0,1092,173.87,53,8.44,0,Clusters of cases
Estonia,Europe,80929,6100.78,10319,777.89,1956,686,51.71,63,4.75,9,Clusters of cases
Uzbekistan,Europe,80347,240.06,312,0.93,79,622,1.86,0,0,0,Clusters of cases
Norway,Europe,76484,1410.82,4251,78.41,716,638,11.77,6,0.11,6,Community transmission
Kosovo[1],Europe,74565,4008.05,3829,205.82,529,1664,89.44,54,2.9,6,Community transmission
Uruguay,Americas,66484,1913.91,6410,184.53,957,678,19.52,54,1.55,12,Community transmission
Finland,Europe,63889,1153.08,3689,66.58,0,779,14.06,15,0.27,0,Community transmission
Mozambique,Africa,63174,202.12,2779,8.89,292,707,2.26,39,0.12,7,Community transmission
